Year,Season,Section,Top Hat,TH-Attendance,Homework #1,Homework #2,Homework #3,Homework #4,Homework #5,Homework #6,Homework #7,Homework #8,Homework #9,Homework #10,Homework #11,Homework #12,Homework #13,Homework #14,Homework #15,Homework #16,Homework #17,Homework #18,Homework #19,Homework #20,Homework #21,Homework #22,Hello Jack,Project #1,Project #2,Project #3,Project #4,Project #5,Project #6,Project #7,Project #8,Project #9,Project #10,Project #11,Midterm Exam #1,Midterm Exam #2,Final Exam,Participation
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,86.67,53.66,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,9.5,10,10,10,10,10,9,98.5,78,94,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,3.33,9.76,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9,4,9,10,10,8,10,10,9,10,44.5,57,76,1
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,86.67,63.41,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9.8,10,9.5,10,10,9,10,10,10,10,94,92,103,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,90,80.49,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,99,94,105,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,0,34.15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,9.5,9.5,10,10,10,10,10,10,76,78,78,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,76.67,21.95,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,10,10,10,10,9.5,10,10,10,10,10,8,96,90,85,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,86.67,68.29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,9.5,10,12,10,86,89,104,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,80,75.61,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9.6,8.5,10,10,10,9,10,10,10,10,98,87,103,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,,14.63,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,9,7,9.5,10,9.5,7,10,7.5,10,75,65,69,3
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,63.33,68.29,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,9,8.5,9.5,10,10,7.5,6.5,10,10,95,90,88,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,73.33,26.83,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,10,9.5,10,9.5,9.5,10,10,73,81,81,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,73.33,82.93,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,11.5,9.5,92,71,89,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,63.33,36.59,2,2,2,2,0,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,9.5,7.5,10,9.5,9.5,10,8.5,6.5,0,0,84,82,80,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,20,29.27,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,10,10,10,10,10,12,10,95,91,105,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,53.33,75.61,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,8,8.5,8,9.5,10,7,7,9.5,10,4,9,57,71,90,4
2023,Spring,6580 | CSE 2221: DL 357 1:50 - 2:45,83.33,21.95,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9.6,9,10,9.5,10,10,9.5,10,8,9,91,76,97,4
