Review ID,DateTime,Course ID,Assignment ID,Time Taken
260,2022/08/24 9:32:57 PM AST,2,80,2
261,2022/08/25 3:29:01 PM AST,2,56,1
262,2022/08/26 10:59:06 AM AST,2,80,0.5
263,2022/08/26 4:43:47 PM AST,2,80,3
264,2022/08/28 9:16:36 PM AST,2,80,2 
265,2022/08/28 11:01:17 PM AST,2,80,2
266,2022/08/29 4:16:51 PM AST,2,80,2.5
267,2022/08/29 6:59:29 PM AST,2,80,1.5
268,2022/08/29 10:45:50 PM AST,2,80,2
269,2022/08/30 12:08:54 AM AST,2,80,3
270,2022/08/30 3:40:43 AM AST,2,80,4
271,2022/08/30 12:23:27 PM AST,2,57,1
272,2022/08/30 10:31:38 PM AST,2,57,0.5
273,2022/08/31 12:43:59 AM AST,2,57,1.5
274,2022/09/01 1:21:56 PM AST,2,58,2
275,2022/09/05 1:53:22 AM AST,2,59,1
276,2022/09/05 9:02:47 PM AST,2,59,0.75
277,2022/09/06 12:19:29 AM AST,2,59,1
278,2022/09/06 8:49:17 AM AST,2,59,0.25
279,2022/09/07 3:10:25 PM AST,2,81,3.5
280,2022/09/11 2:04:30 PM AST,2,60,3.2
281,2022/09/12 1:44:23 PM AST,2,60,1.5
282,2022/09/13 1:57:56 AM AST,2,60,3
283,2022/09/13 9:08:03 AM AST,2,60,0.75
284,2022/09/15 10:08:40 PM AST,2,82,5
285,2022/09/16 11:54:46 AM AST,2,82,2.5
286,2022/09/19 10:44:21 AM AST,2,62,1
287,2022/09/20 12:02:16 AM AST,2,62,3
288,2022/09/21 10:32:20 AM AST,2,60,6.5
289,2022/09/26 9:38:02 PM AST,2,83,4
290,2022/09/27 9:53:39 AM AST,2,63,1
291,2022/09/29 7:51:22 PM AST,2,64,0.2
292,2022/10/01 6:40:22 PM AST,2,83,5
293,2022/10/04 11:17:39 PM AST,2,84,2.5
294,2022/10/05 9:39:19 AM AST,2,66,0.5
295,2022/10/25 12:54:28 AM AST,2,68,1
296,2022/11/01 6:24:36 PM AST,2,70,2
297,2022/11/02 8:37:29 PM AST,2,86,2
298,2022/11/03 12:27:27 AM AST,2,71,0.1
299,2022/11/03 12:57:00 AM AST,2,71,.5
300,2022/11/08 12:44:33 AM AST,2,87,12
301,2022/11/08 1:51:15 AM AST,2,72,17
302,2023/01/11 9:10:03 PM AST,2,56,0.75
303,2023/01/12 5:14:10 AM AST,2,56,1
304,2023/01/12 5:02:56 PM AST,2,80,1.5
305,2023/01/14 7:33:02 PM AST,2,80,1
306,2023/01/15 1:49:56 AM AST,2,80,2
307,2023/01/15 5:09:04 PM AST,2,80,4
308,2023/01/15 5:11:06 PM AST,2,56,1
309,2023/01/15 10:15:25 PM AST,2,80,2
310,2023/01/16 2:26:55 PM AST,2,80,2
311,2023/01/16 2:54:33 PM AST,2,80,0.7
312,2023/01/16 6:55:46 PM AST,2,80,2
313,2023/01/16 7:58:38 PM AST,2,80,3
314,2023/01/16 8:04:14 PM AST,2,80,3
315,2023/01/16 9:40:57 PM AST,2,80,2
316,2023/01/16 11:21:25 PM AST,2,80,5
317,2023/01/17 12:41:41 AM AST,2,80,5
318,2023/01/17 2:20:54 AM AST,2,80,1.5
319,2023/01/17 2:42:28 AM AST,2,80,1
320,2023/01/17 3:58:19 PM AST,2,80,3
321,2023/01/17 9:26:28 PM AST,2,57,1
322,2023/01/18 1:55:15 AM AST,2,57,2
323,2023/01/18 8:55:14 AM AST,2,57,1
324,2023/01/18 3:44:51 PM AST,2,59,0.3
325,2023/01/19 11:02:40 AM AST,2,80,3
326,2023/01/19 11:05:02 AM AST,2,56,1
327,2023/01/19 11:05:52 AM AST,2,57,2
328,2023/01/21 3:24:49 PM AST,2,58,5
329,2023/01/22 8:49:11 PM AST,2,59,0.25
330,2023/01/23 6:01:26 PM AST,2,59,.25
331,2023/01/23 9:04:12 PM AST,2,59,3
332,2023/01/24 12:06:36 PM AST,2,81,2
333,2023/01/24 2:52:24 PM AST,2,81,1.25
334,2023/01/24 8:10:46 PM AST,2,60,2
335,2023/01/25 2:47:32 PM AST,2,81,1.5
336,2023/01/26 1:07:50 AM AST,2,81,3
337,2023/01/26 11:04:23 AM AST,2,81,2
338,2023/01/26 11:55:01 AM AST,2,81,4
339,2023/01/30 11:24:33 PM AST,2,60,2
340,2023/01/31 1:29:37 PM AST,2,60,1.5
341,2023/01/31 2:36:21 PM AST,2,60,3.5
342,2023/01/31 3:22:12 PM AST,2,60,1.5
343,2023/01/31 9:26:53 PM AST,2,82,3
344,2023/02/02 2:52:51 PM AST,2,82,1.25
345,2023/02/02 11:33:45 PM AST,2,82,2.5
346,2023/02/03 3:03:34 AM AST,2,82,6
347,2023/02/03 2:52:28 PM AST,2,82,3
348,2023/02/10 5:09:28 PM AST,2,83,2
349,2023/02/12 10:24:47 AM AST,2,83,5
350,2023/02/16 7:10:54 PM AST,2,83,5
351,2023/02/17 12:49:07 AM AST,2,83,5
352,2023/02/17 2:53:34 PM AST,2,83,6
353,2023/02/18 9:30:49 PM AST,2,56,0.3
354,2023/02/19 5:24:54 PM AST,2,56,1
355,2023/02/20 1:51:30 PM AST,2,56,.25
356,2023/02/20 3:00:55 PM AST,2,84,0.5
357,2023/02/20 3:37:31 PM AST,2,56,0.16
358,2023/02/20 4:06:25 PM AST,2,66,0.5
359,2023/02/22 5:04:01 PM AST,2,83,5
360,2023/02/23 12:17:46 PM AST,2,84,4
361,2023/02/23 3:00:34 PM AST,2,85,0.5
362,2023/02/23 3:30:48 PM AST,2,84,1.5
363,2023/02/24 12:35:24 AM AST,2,84,2
364,2023/02/25 11:08:46 PM AST,2,85,4
365,2023/02/28 12:23:47 PM AST,2,85,0.4
366,2023/03/02 3:41:58 PM AST,2,85,2
367,2023/03/21 6:02:05 PM AST,2,86,-1
368,2023/03/22 2:54:57 PM AST,2,86,4
369,2023/03/29 9:13:27 PM AST,2,87,7
370,2023/03/30 11:55:28 AM AST,2,87,6
371,2023/03/30 11:55:50 AM AST,2,87,7.25
372,2023/03/30 2:54:03 PM AST,2,73,0.5
373,2023/04/05 11:06:21 PM AST,2,88,5
374,2023/04/06 1:59:19 PM AST,2,76,0.5
375,2023/04/13 11:14:42 PM AST,2,80,4
376,2023/04/20 11:32:19 PM AST,2,90,4
377,2023/04/26 3:57:35 PM AST,2,90,3
378,2023/04/26 3:58:25 PM AST,2,80,6
379,2023/04/26 3:59:33 PM AST,2,80,1
380,2023/04/26 4:00:40 PM AST,2,81,1.5
381,2023/04/26 4:01:48 PM AST,2,82,3
382,2023/04/26 4:02:52 PM AST,2,83,4
383,2023/04/26 4:03:47 PM AST,2,84,4
384,2023/04/26 4:05:23 PM AST,2,85,1
385,2023/04/26 4:06:06 PM AST,2,86,4
386,2023/04/26 4:07:03 PM AST,2,87,3.5
387,2023/04/26 4:07:45 PM AST,2,88,2.5
388,2023/08/23 11:28:44 AM AST,3,108,1
389,2023/08/23 9:04:32 PM AST,3,109,.5
390,2023/08/23 10:47:56 PM AST,3,109,.5
391,2023/08/23 10:49:45 PM AST,3,108,.3
392,2023/08/24 8:47:14 PM AST,3,110,.75
393,2023/08/30 12:16:58 AM AST,3,112,.5
394,2023/08/30 11:45:40 AM AST,3,112,-1
395,2023/08/31 11:54:43 AM AST,3,113,.5
396,2023/09/11 2:39:06 PM AST,3,116,.5
397,2023/09/13 5:53:56 PM AST,3,108,.25
398,2023/09/20 9:54:49 PM AST,3,149,2
399,2023/09/23 3:34:03 PM AST,3,122,0.3333333333
400,2023/09/26 12:22:45 AM AST,3,122,.667
401,2023/09/26 3:39:50 AM AST,3,122,1.2
402,2023/09/27 6:29:37 PM AST,3,123,0.1666666
403,2023/09/28 11:57:59 AM AST,3,123,.25
404,2023/10/04 6:24:46 PM AST,3,125,1.25
405,2023/10/10 9:32:17 PM AST,3,152,5
406,2023/11/02 8:17:20 PM AST,3,134,1.3
407,2023/11/28 11:08:37 PM AST,3,156,8
408,2023/12/05 2:30:53 PM AST,3,144,.25
409,2024/01/09 6:42:27 PM AST,3,108,0.5
410,2024/01/09 11:41:43 PM AST,3,108,10
411,2024/01/09 11:56:56 PM AST,3,108,0.2
412,2024/01/10 12:33:06 AM AST,3,108,15
413,2024/01/10 12:49:42 AM AST,3,108,1
414,2024/01/10 2:08:06 AM AST,3,108,1
415,2024/01/10 4:19:09 PM AST,3,108,0.5
416,2024/01/10 5:48:05 PM AST,3,109,1
417,2024/01/10 8:15:05 PM AST,3,108,.2
418,2024/01/11 12:01:30 AM AST,3,109,0.25
419,2024/01/11 12:09:52 AM AST,3,109,0.4
420,2024/01/11 12:44:06 AM AST,3,109,0.2
421,2024/01/11 12:50:38 AM AST,3,109,15
422,2024/01/11 11:10:40 AM AST,3,109,30
423,2024/01/11 4:12:18 PM AST,3,112,.33
424,2024/01/11 5:26:47 PM AST,3,110,.5
425,2024/01/11 11:21:55 PM AST,3,110,0.6
426,2024/01/12 2:08:36 AM AST,3,110,0.5
427,2024/01/15 1:09:28 PM AST,3,111,0.25
428,2024/01/16 1:58:54 PM AST,3,112,.33
429,2024/01/16 2:51:30 PM AST,3,111,1
430,2024/01/16 9:19:51 PM AST,3,112,0.5
431,2024/01/16 9:40:43 PM AST,3,148,3
432,2024/01/17 12:24:23 AM AST,3,112,0.5
433,2024/01/17 7:49:26 PM AST,3,113,25
434,2024/01/18 1:44:18 AM AST,3,113,15
435,2024/01/18 6:42:51 PM AST,3,114,.75
436,2024/01/18 11:55:57 PM AST,3,148,-1
437,2024/01/19 12:04:52 AM AST,3,148,1.5
438,2024/01/19 12:44:11 AM AST,3,148,45
439,2024/01/19 1:20:14 AM AST,3,148,3
440,2024/01/19 1:50:45 AM AST,3,148,4
441,2024/01/19 1:46:43 PM AST,3,148,2
442,2024/01/19 3:07:18 PM AST,3,148,4
443,2024/01/22 12:04:40 AM AST,3,114,40
444,2024/01/22 3:24:37 PM AST,3,115,.5
445,2024/01/22 3:52:29 PM AST,3,116,.5
446,2024/01/22 11:43:54 PM AST,3,114,0.7
447,2024/01/23 12:49:27 AM AST,3,114,0.75
448,2024/01/23 2:36:52 AM AST,3,114,0.5
449,2024/01/23 1:08:08 PM AST,2,62,45
450,2024/01/24 8:04:16 PM AST,3,115,.75
451,2024/01/25 1:24:12 AM AST,3,115,30
452,2024/01/28 10:15:32 PM AST,3,149,3
453,2024/01/30 11:10:55 AM AST,2,64,0.5
454,2024/01/30 2:16:36 PM AST,3,116,0.75
455,2024/01/30 7:17:03 PM AST,3,149,2.5
456,2024/01/31 12:56:42 PM AST,3,108,30
457,2024/01/31 4:03:32 PM AST,3,108,.25
458,2024/01/31 4:32:43 PM AST,3,149,4
459,2024/02/01 1:22:09 PM AST,3,108,0.6
460,2024/02/01 2:42:50 PM AST,3,108,0.5
461,2024/02/02 2:12:03 AM AST,3,118,15
462,2024/02/02 1:24:06 PM AST,3,118,0.5
463,2024/02/05 10:41:17 PM AST,3,119,0.5
464,2024/02/05 10:59:44 PM AST,3,120,0.25
465,2024/02/05 11:45:58 PM AST,3,121,0.75
466,2024/02/06 12:52:59 PM AST,3,119,0.5
467,2024/02/06 4:36:06 PM AST,3,150,3
468,2024/02/06 6:04:44 PM AST,3,120,30
469,2024/02/10 5:54:05 PM AST,3,122,.5
470,2024/02/15 12:26:46 AM AST,3,123,25
471,2024/03/01 11:15:43 AM AST,3,109,1.5
472,2024/03/03 8:24:18 PM AST,3,129,.75
473,2024/03/03 8:37:49 PM AST,3,130,.25
474,2024/03/06 5:34:04 PM AST,3,131,.25
475,2024/03/19 12:13:19 AM AST,3,131,30
476,2024/03/19 12:25:46 AM AST,3,131,0.5
477,2024/03/21 1:22:50 PM AST,3,133,0.5
478,2024/03/25 3:00:09 PM AST,3,135,.5
479,2024/03/26 11:56:12 PM AST,3,136,25
480,2024/03/27 4:46:19 PM AST,3,110,.25
481,2024/03/28 1:33:26 PM AST,3,110,0.75
482,2024/04/04 12:49:45 AM AST,3,139,20
483,2024/04/04 12:31:41 PM AST,3,142,.25
484,2024/04/11 1:15:15 PM AST,3,142,0.2
485,2024/04/17 11:53:43 PM AST,3,144,0.35
