Year,Season,Section,TH-Attendance,Homework #1,Homework #2,Homework #3,Homework #4,Homework #5,Homework #6,Homework #7,Homework #8,Homework #9,Homework #10,Homework #11,Homework #12,Homework #13,Homework #14,Homework #15,Homework #16,Homework #17,Homework #18,Homework #19,Homework #20,Homework #21,Homework #22,Homework #23,Activity #36,Homework #24,Homework #25,Homework #26,Homework #27,Homework #28,Homework #29,Homework #30,Homework #31,Homework #32,Activity #46,Homework #33,Activity #48,Homework #34,Homework #35,Homework #36,Homework #37,Project #1,Project #2,Project #3,Project #4,Project #5,Project #6,Project #7,Project #8,Project #9,Project #10,Midterm Exam #1,Midterm Exam #2,Final Exam,Participation
2023,Autumn,12411,48,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,9.75,10,10,10,10,9.5,9.5,9.5,100,102,94,4
2023,Autumn,12411,21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9.75,10,10,9.25,10,9.5,9.75,9,9,100,82,76.54,2
2023,Autumn,12411,17,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,10,9.5,10,9.75,10,9.5,10,9,10,67,100,57.92,3
2023,Autumn,12411,30,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.75,10,10,10,10,10,10,9.5,10,100,90,88,4
2023,Autumn,12411,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.5,10,8.75,9.75,8.75,9.5,9.5,9.5,9.5,9,100,100,96,4
2023,Autumn,12411,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,0,2,0,2,2,2,9,9.5,9.25,10,9,10,10,8.75,9.5,9.5,100,83.29,85,3
2023,Autumn,12411,18,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,0,2,0,2,2,2,0,2,0,2,2,0,2,2,2,2,2,0,2,0,0,9,8.5,9.75,9,9.75,9.5,10,7.5,8.5,9,100,82.71,79.77,2
2023,Autumn,12411,47,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,9.75,10,10,10,9.75,9.25,9.5,10,100,87,65.77,4
2023,Autumn,12411,22,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,10,9.5,10,10,10,10,10,9,9,9,100,81.8,83,4
2023,Autumn,12411,14,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,10,6.5,9.5,9.75,9,10,10,8.25,8,10,69,73,68,2
2023,Autumn,12411,37,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,2,2,2,9.5,10,10,9.5,9.5,10,10,9.5,10,10,100,86.86,92,4
2023,Autumn,12411,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,10,9.5,10,8,10,10,9.5,10,10,100,75.4,79,4
2023,Autumn,12411,3,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9.5,9.5,10,10,10,10,10,9,9,9,100,80,88,4
2023,Autumn,12411,49,1.5,2,0,2,2,2,2,2,1,2,1,2,2,1,2,2,1,2,2,0,2,1,2,2,2,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,6,9.5,10,9.5,9.75,10,10,9.5,8,8.5,81,63.8,72,4
2023,Autumn,12411,29,2,2,2,2,2,1,1,2,2,2,2,2,2,0,2,2,2,2,2,2,1,1,2,2,0,2,0,0,0,2,2,2,0,2,0,2,2,2,0,0,9,9.5,9,9.5,10,9.5,10,8,8.5,8.5,86,100,87,3
2023,Autumn,12411,36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,10,10,10,10,10,10,10,10,9,8.5,100,89,83.46,4
